State,State Name,County,County Name,NAICS,NAICS Description,Enterprise Size,Firms,Establishments,Employment,Employment Noise Flag,"Annual Payroll
($1,000)",Annual Payroll Noise Flag
18,Indiana,39,Elkhart,713,"Amusement, Gambling, and Recreation Industries",1: Total,27,31,336,G,"7,278",G
18,Indiana,39,Elkhart,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,255,257,"1,742",G,"45,286",G
18,Indiana,41,Fayette,713,"Amusement, Gambling, and Recreation Industries",1: Total,5,5,26,G,536,G
18,Indiana,41,Fayette,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,32,32,145,J,"2,588",G
18,Indiana,43,Floyd,713,"Amusement, Gambling, and Recreation Industries",1: Total,16,16,194,H,"3,146",H
18,Indiana,43,Floyd,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,85,85,710,G,"17,494",G
18,Indiana,45,Fountain,713,"Amusement, Gambling, and Recreation Industries",1: Total,5,5,28,G,771,J
18,Indiana,45,Fountain,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,29,29,88,G,"2,128",G
18,Indiana,47,Franklin,713,"Amusement, Gambling, and Recreation Industries",1: Total,5,5,55,G,901,G
18,Indiana,47,Franklin,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,19,19,77,G,"1,702",G
18,Indiana,49,Fulton,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,42,42,141,G,"2,560",G
18,Indiana,51,Gibson,713,"Amusement, Gambling, and Recreation Industries",1: Total,7,7,22,H,247,G
18,Indiana,51,Gibson,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,56,56,238,G,"3,953",G
18,Indiana,53,Grant,713,"Amusement, Gambling, and Recreation Industries",1: Total,9,9,91,J,"1,242",J
18,Indiana,53,Grant,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,105,105,803,G,"17,465",G
18,Indiana,55,Greene,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,56,56,159,J,"2,937",G
18,Indiana,57,Hamilton,713,"Amusement, Gambling, and Recreation Industries",1: Total,135,143,"2,528",G,"59,513",G
18,Indiana,57,Hamilton,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,284,285,"3,266",G,"97,643",G
18,Indiana,59,Hancock,713,"Amusement, Gambling, and Recreation Industries",1: Total,8,8,100,G,"1,472",H
18,Indiana,59,Hancock,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,70,70,560,G,"11,939",G
18,Indiana,61,Harrison,713,"Amusement, Gambling, and Recreation Industries",1: Total,4,4,30,J,"1,029",J
18,Indiana,61,Harrison,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,36,36,196,G,"4,565",G
18,Indiana,63,Hendricks,713,"Amusement, Gambling, and Recreation Industries",1: Total,41,41,370,G,"6,194",G
18,Indiana,63,Hendricks,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,137,137,"1,381",G,"33,276",G
18,Indiana,65,Henry,713,"Amusement, Gambling, and Recreation Industries",1: Total,10,10,140,J,"1,966",G
18,Indiana,65,Henry,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,65,65,320,G,"5,592",G
18,Indiana,67,Howard,713,"Amusement, Gambling, and Recreation Industries",1: Total,16,17,250,H,"3,687",H
18,Indiana,67,Howard,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,121,121,"1,031",G,"18,521",G
18,Indiana,69,Huntington,713,"Amusement, Gambling, and Recreation Industries",1: Total,13,13,118,H,"1,297",H
18,Indiana,69,Huntington,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,60,60,609,H,"7,320",H
18,Indiana,71,Jackson,713,"Amusement, Gambling, and Recreation Industries",1: Total,6,6,30,H,839,G
18,Indiana,71,Jackson,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,57,57,402,H,"8,109",H
18,Indiana,73,Jasper,713,"Amusement, Gambling, and Recreation Industries",1: Total,7,7,42,H,"1,155",J
18,Indiana,73,Jasper,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,41,41,184,G,"3,360",G
18,Indiana,75,Jay,713,"Amusement, Gambling, and Recreation Industries",1: Total,4,4,21,J,279,H
18,Indiana,75,Jay,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,34,34,163,H,"2,631",G
18,Indiana,77,Jefferson,713,"Amusement, Gambling, and Recreation Industries",1: Total,3,3,34,J,220,H
18,Indiana,77,Jefferson,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,44,44,158,G,"3,574",G
18,Indiana,79,Jennings,713,"Amusement, Gambling, and Recreation Industries",1: Total,4,4,8,G,174,J
18,Indiana,79,Jennings,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,20,20,92,H,"2,027",G
18,Indiana,81,Johnson,713,"Amusement, Gambling, and Recreation Industries",1: Total,34,35,588,G,"11,419",G
18,Indiana,81,Johnson,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,131,131,"1,512",G,"36,645",G
18,Indiana,83,Knox,713,"Amusement, Gambling, and Recreation Industries",1: Total,8,8,106,J,"1,275",J
18,Indiana,83,Knox,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,65,65,280,G,"4,786",G
18,Indiana,85,Kosciusko,713,"Amusement, Gambling, and Recreation Industries",1: Total,26,26,223,H,"6,092",H
18,Indiana,85,Kosciusko,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,123,123,695,G,"18,671",G
18,Indiana,87,LaGrange,713,"Amusement, Gambling, and Recreation Industries",1: Total,4,4,18,J,433,G
18,Indiana,87,LaGrange,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,35,35,139,H,"2,731",G
18,Indiana,89,Lake,713,"Amusement, Gambling, and Recreation Industries",1: Total,103,107,"2,897",H,"83,979",J
18,Indiana,89,Lake,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,423,428,"4,455",G,"136,704",H
18,Indiana,91,LaPorte,713,"Amusement, Gambling, and Recreation Industries",1: Total,24,24,265,G,"7,326",G
18,Indiana,91,LaPorte,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,113,113,501,G,"11,005",G
18,Indiana,93,Lawrence,713,"Amusement, Gambling, and Recreation Industries",1: Total,7,7,32,G,516,G
18,Indiana,93,Lawrence,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,66,66,353,H,"6,281",G
18,Indiana,95,Madison,713,"Amusement, Gambling, and Recreation Industries",1: Total,19,21,331,G,"5,357",G
18,Indiana,95,Madison,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,160,160,851,G,"16,383",G
18,Indiana,97,Marion,713,"Amusement, Gambling, and Recreation Industries",1: Total,179,205,"3,670",G,"80,718",G
18,Indiana,97,Marion,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,"1,124","1,148","14,094",G,"624,993",G
18,Indiana,99,Marshall,713,"Amusement, Gambling, and Recreation Industries",1: Total,11,11,66,J,"2,007",H
18,Indiana,99,Marshall,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,72,72,395,J,"10,607",H
18,Indiana,101,Martin,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,18,18,73,G,938,G
18,Indiana,103,Miami,713,"Amusement, Gambling, and Recreation Industries",1: Total,5,5,113,H,"1,492",H
18,Indiana,103,Miami,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,55,55,218,H,"3,555",G
18,Indiana,105,Monroe,713,"Amusement, Gambling, and Recreation Industries",1: Total,31,32,494,H,"7,454",G
18,Indiana,105,Monroe,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,136,136,"1,188",H,"43,531",H
18,Indiana,107,Montgomery,713,"Amusement, Gambling, and Recreation Industries",1: Total,7,7,66,G,"1,225",G
18,Indiana,107,Montgomery,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,50,50,296,G,"5,355",G
18,Indiana,109,Morgan,713,"Amusement, Gambling, and Recreation Industries",1: Total,9,9,152,H,"1,822",H
18,Indiana,109,Morgan,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,66,66,429,G,"11,383",H
18,Indiana,111,Newton,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,10,10,45,J,"1,064",G
18,Indiana,113,Noble,713,"Amusement, Gambling, and Recreation Industries",1: Total,4,4,149,J,"1,939",H
18,Indiana,113,Noble,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,57,57,257,G,"4,821",G
18,Indiana,115,Ohio,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,8,8,20,J,485,H
18,Indiana,117,Orange,713,"Amusement, Gambling, and Recreation Industries",1: Total,7,7,139,J,"1,620",J
18,Indiana,117,Orange,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,26,26,92,J,"1,888",H
18,Indiana,119,Owen,713,"Amusement, Gambling, and Recreation Industries",1: Total,5,5,64,G,817,H
18,Indiana,119,Owen,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,21,21,80,G,"1,116",H
18,Indiana,121,Parke,713,"Amusement, Gambling, and Recreation Industries",1: Total,3,3,9,J,185,G
18,Indiana,121,Parke,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,27,27,90,J,"1,291",G
18,Indiana,123,Perry,713,"Amusement, Gambling, and Recreation Industries",1: Total,3,3,22,H,281,G
18,Indiana,123,Perry,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,21,21,53,G,827,G
18,Indiana,125,Pike,713,"Amusement, Gambling, and Recreation Industries",1: Total,3,3,6,G,111,G
18,Indiana,125,Pike,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,28,28,67,H,975,G
18,Indiana,127,Porter,713,"Amusement, Gambling, and Recreation Industries",1: Total,35,35,665,H,"10,377",G
18,Indiana,127,Porter,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,154,157,"1,104",G,"26,478",G
18,Indiana,129,Posey,713,"Amusement, Gambling, and Recreation Industries",1: Total,4,4,18,J,468,H
18,Indiana,129,Posey,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,31,31,102,G,"1,507",G
18,Indiana,131,Pulaski,713,"Amusement, Gambling, and Recreation Industries",1: Total,5,5,12,G,323,G
18,Indiana,131,Pulaski,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,28,28,89,G,"1,598",G
18,Indiana,133,Putnam,713,"Amusement, Gambling, and Recreation Industries",1: Total,3,3,26,J,299,G
18,Indiana,133,Putnam,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,60,60,230,J,"4,368",G
18,Indiana,135,Randolph,713,"Amusement, Gambling, and Recreation Industries",1: Total,6,6,63,H,"4,151",H
18,Indiana,135,Randolph,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,34,34,127,G,"1,558",G
18,Indiana,137,Ripley,713,"Amusement, Gambling, and Recreation Industries",1: Total,7,7,143,J,"2,916",H
18,Indiana,137,Ripley,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,48,48,260,G,"4,300",G
18,Indiana,139,Rush,713,"Amusement, Gambling, and Recreation Industries",1: Total,6,6,32,J,569,H
18,Indiana,139,Rush,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,29,29,98,G,"1,735",G
18,Indiana,141,St. Joseph,713,"Amusement, Gambling, and Recreation Industries",1: Total,56,56,766,H,"15,399",G
18,Indiana,141,St. Joseph,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,283,284,"2,191",G,"63,153",G
18,Indiana,143,Scott,713,"Amusement, Gambling, and Recreation Industries",1: Total,4,4,30,H,355,G
18,Indiana,143,Scott,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,28,28,94,H,"1,907",G
18,Indiana,145,Shelby,713,"Amusement, Gambling, and Recreation Industries",1: Total,9,9,72,H,"1,015",G
18,Indiana,145,Shelby,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,50,50,248,G,"4,509",H
18,Indiana,147,Spencer,713,"Amusement, Gambling, and Recreation Industries",1: Total,8,8,271,H,"12,487",J
18,Indiana,147,Spencer,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,33,33,147,G,"2,647",G
18,Indiana,149,Starke,713,"Amusement, Gambling, and Recreation Industries",1: Total,4,4,4,G,284,J
18,Indiana,149,Starke,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,27,27,100,G,"1,681",G
18,Indiana,151,Steuben,713,"Amusement, Gambling, and Recreation Industries",1: Total,12,12,72,G,"2,092",G
18,Indiana,151,Steuben,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,54,54,213,G,"4,719",G
18,Indiana,153,Sullivan,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,26,26,117,G,"1,971",G
18,Indiana,155,Switzerland,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,10,10,27,J,604,H
18,Indiana,157,Tippecanoe,713,"Amusement, Gambling, and Recreation Industries",1: Total,40,40,459,G,"6,425",G
18,Indiana,157,Tippecanoe,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,171,171,"2,078",G,"67,664",H
18,Indiana,159,Tipton,713,"Amusement, Gambling, and Recreation Industries",1: Total,5,5,5,J,75,H
18,Indiana,159,Tipton,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,24,24,133,H,"2,141",G
18,Indiana,161,Union,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,10,10,31,J,607,H
18,Indiana,163,Vanderburgh,713,"Amusement, Gambling, and Recreation Industries",1: Total,47,49,"1,101",G,"21,500",G
18,Indiana,163,Vanderburgh,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,269,270,"2,493",G,"65,683",G
18,Indiana,165,Vermillion,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,18,18,69,H,"1,016",G
18,Indiana,167,Vigo,713,"Amusement, Gambling, and Recreation Industries",1: Total,26,26,202,G,"3,462",G
18,Indiana,167,Vigo,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,147,147,804,G,"21,806",G
18,Indiana,169,Wabash,713,"Amusement, Gambling, and Recreation Industries",1: Total,7,7,139,J,"1,692",H
18,Indiana,169,Wabash,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,60,60,344,H,"8,679",H
18,Indiana,171,Warren,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,10,10,19,J,439,H
18,Indiana,173,Warrick,713,"Amusement, Gambling, and Recreation Industries",1: Total,13,14,287,H,"6,549",J
18,Indiana,173,Warrick,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,62,63,344,G,"7,626",G
18,Indiana,175,Washington,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,25,25,91,G,"1,656",G
18,Indiana,177,Wayne,713,"Amusement, Gambling, and Recreation Industries",1: Total,16,16,156,G,"2,574",G
18,Indiana,177,Wayne,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,88,91,477,H,"9,674",H
18,Indiana,179,Wells,713,"Amusement, Gambling, and Recreation Industries",1: Total,3,3,81,J,718,J
18,Indiana,179,Wells,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,53,53,291,G,"6,043",G
18,Indiana,181,White,713,"Amusement, Gambling, and Recreation Industries",1: Total,6,6,71,G,"4,796",J
18,Indiana,181,White,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,28,28,153,H,"2,229",G
18,Indiana,183,Whitley,713,"Amusement, Gambling, and Recreation Industries",1: Total,11,12,159,G,"2,317",H
18,Indiana,183,Whitley,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,43,43,237,G,"4,299",G
18,Indiana,999,Statewide Indiana,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,7,7,30,G,"2,087",G
19,Iowa,1,Adair,713,"Amusement, Gambling, and Recreation Industries",1: Total,4,4,18,G,169,G
19,Iowa,1,Adair,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,12,12,25,J,406,H
19,Iowa,3,Adams,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,7,7,13,J,153,G
19,Iowa,5,Allamakee,713,"Amusement, Gambling, and Recreation Industries",1: Total,3,3,19,G,263,J
19,Iowa,5,Allamakee,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,24,24,130,J,"2,415",H
19,Iowa,7,Appanoose,713,"Amusement, Gambling, and Recreation Industries",1: Total,6,6,42,J,800,H
19,Iowa,7,Appanoose,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,16,16,38,J,504,G
19,Iowa,9,Audubon,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,12,12,36,H,465,G
19,Iowa,11,Benton,713,"Amusement, Gambling, and Recreation Industries",1: Total,7,7,50,H,785,G
19,Iowa,11,Benton,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,35,35,128,G,"2,397",G
19,Iowa,13,Black Hawk,713,"Amusement, Gambling, and Recreation Industries",1: Total,42,43,535,G,"9,930",G
19,Iowa,13,Black Hawk,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,155,155,"1,178",G,"22,752",G
19,Iowa,15,Boone,713,"Amusement, Gambling, and Recreation Industries",1: Total,11,11,139,H,"1,473",G
19,Iowa,15,Boone,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,37,37,218,G,"5,875",G
19,Iowa,17,Bremer,713,"Amusement, Gambling, and Recreation Industries",1: Total,7,7,25,H,149,H
19,Iowa,17,Bremer,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,43,43,219,G,"4,216",G
19,Iowa,19,Buchanan,713,"Amusement, Gambling, and Recreation Industries",1: Total,5,5,44,H,386,J
19,Iowa,19,Buchanan,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,18,18,120,H,"2,279",G
19,Iowa,21,Buena Vista,713,"Amusement, Gambling, and Recreation Industries",1: Total,8,8,43,G,"1,277",H
19,Iowa,21,Buena Vista,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,34,34,104,H,"1,959",G
19,Iowa,23,Butler,713,"Amusement, Gambling, and Recreation Industries",1: Total,6,6,12,J,228,H
19,Iowa,23,Butler,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,30,30,71,J,"1,199",G
19,Iowa,25,Calhoun,713,"Amusement, Gambling, and Recreation Industries",1: Total,4,4,16,J,329,H
19,Iowa,25,Calhoun,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,22,22,91,H,"1,218",G
19,Iowa,27,Carroll,713,"Amusement, Gambling, and Recreation Industries",1: Total,7,7,21,J,808,G
19,Iowa,27,Carroll,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,34,34,150,G,"2,249",H
19,Iowa,29,Cass,713,"Amusement, Gambling, and Recreation Industries",1: Total,6,6,43,H,599,G
19,Iowa,29,Cass,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,24,24,162,H,"2,357",H
19,Iowa,31,Cedar,713,"Amusement, Gambling, and Recreation Industries",1: Total,7,7,24,G,278,G
19,Iowa,31,Cedar,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,24,24,64,G,"1,559",H
19,Iowa,33,Cerro Gordo,713,"Amusement, Gambling, and Recreation Industries",1: Total,21,21,139,G,"1,745",G
19,Iowa,33,Cerro Gordo,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,65,68,459,G,"10,531",G
19,Iowa,35,Cherokee,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,20,20,76,J,"1,324",G
19,Iowa,37,Chickasaw,713,"Amusement, Gambling, and Recreation Industries",1: Total,5,5,41,J,629,J
19,Iowa,37,Chickasaw,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,23,23,48,J,"1,605",H
19,Iowa,39,Clarke,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,12,12,38,G,770,G
19,Iowa,41,Clay,713,"Amusement, Gambling, and Recreation Industries",1: Total,5,5,170,J,"2,204",J
19,Iowa,41,Clay,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,27,27,114,H,"2,416",G
19,Iowa,43,Clayton,713,"Amusement, Gambling, and Recreation Industries",1: Total,6,6,105,J,"3,780",J
19,Iowa,43,Clayton,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,37,37,101,J,"1,449",G
19,Iowa,45,Clinton,713,"Amusement, Gambling, and Recreation Industries",1: Total,14,14,152,H,"1,977",H
19,Iowa,45,Clinton,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,60,60,294,H,"5,518",G
19,Iowa,47,Crawford,713,"Amusement, Gambling, and Recreation Industries",1: Total,5,5,31,J,507,G
19,Iowa,47,Crawford,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,16,16,90,G,"1,506",G
19,Iowa,49,Dallas,713,"Amusement, Gambling, and Recreation Industries",1: Total,34,36,428,H,"10,013",H
19,Iowa,49,Dallas,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,73,74,618,G,"15,473",G
19,Iowa,51,Davis,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,8,8,21,J,302,H
19,Iowa,53,Decatur,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,7,7,17,G,167,G
19,Iowa,55,Delaware,713,"Amusement, Gambling, and Recreation Industries",1: Total,6,6,32,H,749,G
19,Iowa,55,Delaware,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,24,24,123,H,"2,202",G
19,Iowa,57,Des Moines,713,"Amusement, Gambling, and Recreation Industries",1: Total,9,9,325,H,"9,953",H
19,Iowa,57,Des Moines,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,67,67,259,H,"5,441",G
19,Iowa,59,Dickinson,713,"Amusement, Gambling, and Recreation Industries",1: Total,22,24,255,G,"10,919",H
19,Iowa,59,Dickinson,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,34,34,176,G,"4,343",G
19,Iowa,61,Dubuque,713,"Amusement, Gambling, and Recreation Industries",1: Total,32,33,674,H,"16,924",H
19,Iowa,61,Dubuque,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,93,93,"1,137",G,"29,422",G
19,Iowa,63,Emmet,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,21,21,75,G,898,G
19,Iowa,65,Fayette,713,"Amusement, Gambling, and Recreation Industries",1: Total,6,6,36,J,790,J
19,Iowa,65,Fayette,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,32,32,92,G,"1,146",G
19,Iowa,67,Floyd,713,"Amusement, Gambling, and Recreation Industries",1: Total,4,4,59,G,672,G
19,Iowa,67,Floyd,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,26,26,134,G,"2,488",G
19,Iowa,69,Franklin,713,"Amusement, Gambling, and Recreation Industries",1: Total,4,4,9,G,202,G
19,Iowa,69,Franklin,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,23,23,75,H,"1,135",G
19,Iowa,71,Fremont,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,5,5,13,G,124,G
19,Iowa,73,Greene,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,25,25,64,G,"1,061",G
19,Iowa,75,Grundy,713,"Amusement, Gambling, and Recreation Industries",1: Total,6,6,36,G,615,G
19,Iowa,75,Grundy,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,24,24,86,H,"1,087",G
19,Iowa,77,Guthrie,713,"Amusement, Gambling, and Recreation Industries",1: Total,3,3,54,J,"1,189",J
19,Iowa,77,Guthrie,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,25,25,86,H,"2,207",H
19,Iowa,79,Hamilton,713,"Amusement, Gambling, and Recreation Industries",1: Total,5,5,4,J,151,J
19,Iowa,79,Hamilton,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,26,26,94,J,"1,989",G
19,Iowa,81,Hancock,713,"Amusement, Gambling, and Recreation Industries",1: Total,5,5,16,J,155,G
19,Iowa,81,Hancock,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,27,27,81,H,"1,253",G
19,Iowa,83,Hardin,713,"Amusement, Gambling, and Recreation Industries",1: Total,8,8,29,J,504,G
19,Iowa,83,Hardin,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,38,38,126,G,"2,281",H
19,Iowa,85,Harrison,713,"Amusement, Gambling, and Recreation Industries",1: Total,5,5,34,H,674,H
19,Iowa,85,Harrison,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,26,26,63,G,"1,366",G
19,Iowa,87,Henry,713,"Amusement, Gambling, and Recreation Industries",1: Total,6,6,36,J,632,H
19,Iowa,87,Henry,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,22,22,98,H,"2,212",G
19,Iowa,89,Howard,713,"Amusement, Gambling, and Recreation Industries",1: Total,3,3,2,G,122,J
19,Iowa,89,Howard,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,20,20,128,H,"1,606",G
19,Iowa,91,Humboldt,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,16,16,69,H,"1,412",H
19,Iowa,93,Ida,713,"Amusement, Gambling, and Recreation Industries",1: Total,5,5,22,H,324,G
19,Iowa,93,Ida,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,16,16,51,G,848,G
19,Iowa,95,Iowa,713,"Amusement, Gambling, and Recreation Industries",1: Total,8,8,45,J,"1,197",G
19,Iowa,95,Iowa,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,26,26,72,H,"1,426",G
19,Iowa,97,Jackson,713,"Amusement, Gambling, and Recreation Industries",1: Total,9,9,28,J,819,H
19,Iowa,97,Jackson,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,21,21,97,G,"1,728",G
19,Iowa,99,Jasper,713,"Amusement, Gambling, and Recreation Industries",1: Total,10,10,115,G,"1,426",H
19,Iowa,99,Jasper,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,62,62,210,J,"4,044",G
19,Iowa,101,Jefferson,713,"Amusement, Gambling, and Recreation Industries",1: Total,4,4,15,J,255,J
19,Iowa,101,Jefferson,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,30,30,127,G,"5,276",H
19,Iowa,103,Johnson,713,"Amusement, Gambling, and Recreation Industries",1: Total,47,50,302,G,"5,617",G
19,Iowa,103,Johnson,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",1: Total,124,124,"1,175",H,"42,979",H
